misra1,misra2,poet
اے ظلم کے ماتو لب کھولو چپ رہنے والو چپ کب تک ,کچھ حشر تو ان سے اٹھے گا کچھ دور تو نالے جائیں گے ,Faiz Ahmad Faiz
متاع لوح و قلم چھن گئی تو کیا غم ہے ,کہ خون دل میں ڈبو لی ہیں انگلیاں میں نے ,Faiz Ahmad Faiz
رقص مے تیز کرو ساز کی لے تیز کرو ,سوئے مے خانہ سفیران حرم آتے ہیں ,Faiz Ahmad Faiz
سب قتل ہو کے تیرے مقابل سے آئے ہیں ,ہم لوگ سرخ رو ہیں کہ منزل سے آئے ہیں ,Faiz Ahmad Faiz
وہ بتوں نے ڈالے ہیں وسوسے کہ دلوں سے خوف خدا گیا ,وہ پڑی ہیں روز قیامتیں کہ خیال روز جزا گیا ,Faiz Ahmad Faiz
چمن پہ غارت گلچیں سے جانے کیا گزری ,قفس سے آج صبا بے قرار گزری ہے ,Faiz Ahmad Faiz
گرمئ شوق نظارہ کا اثر تو دیکھو ,گل کھلے جاتے ہیں وہ سایۂ تر تو دیکھو ,Faiz Ahmad Faiz
کرو کج جبیں پہ سر کفن مرے قاتلوں کو گماں نہ ہو ,کہ غرور عشق کا بانکپن پس مرگ ہم نے بھلا دیا ,Faiz Ahmad Faiz
فریب آرزو کی سہل انگاری نہیں جاتی ,ہم اپنے دل کی دھڑکن کو تری آواز پا سمجھے ,Faiz Ahmad Faiz
نہیں شکایت ہجراں کہ اس وسیلے سے ,ہم ان سے رشتۂ دل استوار کرتے رہے ,Faiz Ahmad Faiz
زیر لب ہے ابھی تبسم دوست ,منتشر جلوۂ بہار نہیں ,Faiz Ahmad Faiz
جو طلب پہ عہد وفا کیا تو وہ آبروئے وفا گئی ,سر عام جب ہوئے مدعی تو ثواب صدق و وفا گیا ,Faiz Ahmad Faiz
جواں مردی اسی رفعت پہ پہنچی ,جہاں سے بزدلی نے جست کی تھی ,Faiz Ahmad Faiz
اپنی نظریں بکھیر دے ساقی ,مے بہ اندازۂ خمار نہیں ,Faiz Ahmad Faiz
جل اٹھے بزم غیر کے در و بام ,جب بھی ہم خانماں خراب آئے ,Faiz Ahmad Faiz
وہ جب بھی کرتے ہیں اس نطق و لب کی بخیہ گری ,فضا میں اور بھی نغمے بکھرنے لگتے ہیں ,Faiz Ahmad Faiz
مے خانہ سلامت ہے تو ہم سرخیٔ مے سے ,تزئین در و بام حرم کرتے رہیں گے ,Faiz Ahmad Faiz
حدیث یار کے عنواں نکھرنے لگتے ہیں ,تو ہر حریم میں گیسو سنورنے لگتے ہیں ,Faiz Ahmad Faiz
سجاؤ بزم غزل گاؤ جام تازہ کرو ,''بہت سہی غم گیتی شراب کم کیا ہے'' ,Faiz Ahmad Faiz
جو نفس تھا خار گلو بنا جو اٹھے تھے ہاتھ لہو ہوئے ,وہ نشاط آہ سحر گئی وہ وقار دست دعا گیا ,Faiz Ahmad Faiz
ہاں نکتہ ورو لاؤ لب و دل کی گواہی ,ہاں نغمہ گرو ساز صدا کیوں نہیں دیتے ,Faiz Ahmad Faiz
چنگ و نے رنگ پہ تھے اپنے لہو کے دم سے ,دل نے لے بدلی تو مدھم ہوا ہر ساز کا رنگ ,Faiz Ahmad Faiz
ہر چارہ گر کو چارہ گری سے گریز تھا ,ورنہ ہمیں جو دکھ تھے بہت لا دوا نہ تھے ,Faiz Ahmad Faiz
بہت ملا نہ ملا زندگی سے غم کیا ہے ,متاع درد بہم ہے تو بیش و کم کیا ہے ,Faiz Ahmad Faiz
ایک مدت سے تری یاد بھی آئی نہ ہمیں ,اور ہم بھول گئے ہوں تجھے ایسا بھی نہیں ,Faraq Ghork Pori
بہت پہلے سے ان قدموں کی آہٹ جان لیتے ہیں ,تجھے اے زندگی ہم دور سے پہچان لیتے ہیں ,Faraq Ghork Pori
کوئی سمجھے تو ایک بات کہوں ,عشق توفیق ہے گناہ نہیں ,Faraq Ghork Pori
تم مخاطب بھی ہو قریب بھی ہو ,تم کو دیکھیں کہ تم سے بات کریں ,Faraq Ghork Pori
موت کا بھی علاج ہو شاید ,زندگی کا کوئی علاج نہیں ,Faraq Ghork Pori
ہم سے کیا ہو سکا محبت میں ,خیر تم نے تو بے وفائی کی ,Faraq Ghork Pori
غرض کہ کاٹ دیے زندگی کے دن اے دوست ,وہ تیری یاد میں ہوں یا تجھے بھلانے میں ,Faraq Ghork Pori
میں ہوں دل ہے تنہائی ہے ,تم بھی ہوتے اچھا ہوتا ,Faraq Ghork Pori
نہ کوئی وعدہ نہ کوئی یقیں نہ کوئی امید ,مگر ہمیں تو ترا انتظار کرنا تھا ,Faraq Ghork Pori
شام بھی تھی دھواں دھواں حسن بھی تھا اداس اداس ,دل کو کئی کہانیاں یاد سی آ کے رہ گئیں ,Faraq Ghork Pori
آئے تھے ہنستے کھیلتے مے خانے میں فراقؔ ,جب پی چکے شراب تو سنجیدہ ہو گئے ,Faraq Ghork Pori
تیرے آنے کی کیا امید مگر ,کیسے کہہ دوں کہ انتظار نہیں ,Faraq Ghork Pori
اب تو ان کی یاد بھی آتی نہیں ,کتنی تنہا ہو گئیں تنہائیاں ,Faraq Ghork Pori
رات بھی نیند بھی کہانی بھی ,ہائے کیا چیز ہے جوانی بھی ,Faraq Ghork Pori
کم سے کم موت سے ایسی مجھے امید نہیں ,زندگی تو نے تو دھوکے پہ دیا ہے دھوکہ ,Faraq Ghork Pori
بہت دنوں میں محبت کو یہ ہوا معلوم ,جو تیرے ہجر میں گزری وہ رات رات ہوئی ,Faraq Ghork Pori
جو ان معصوم آنکھوں نے دیے تھے ,وہ دھوکے آج تک میں کھا رہا ہوں ,Faraq Ghork Pori
اک عمر کٹ گئی ہے ترے انتظار میں ,ایسے بھی ہیں کہ کٹ نہ سکی جن سے ایک رات ,Faraq Ghork Pori
یہ مانا زندگی ہے چار دن کی ,بہت ہوتے ہیں یارو چار دن بھی ,Faraq Ghork Pori
سنتے ہیں عشق نام کے گزرے ہیں اک بزرگ ,ہم لوگ بھی فقیر اسی سلسلے کے ہیں ,Faraq Ghork Pori
کسی کا یوں تو ہوا کون عمر بھر پھر بھی ,یہ حسن و عشق تو دھوکا ہے سب مگر پھر بھی ,Faraq Ghork Pori
ذرا وصال کے بعد آئنہ تو دیکھ اے دوست ,ترے جمال کی دوشیزگی نکھر آئی ,Faraq Ghork Pori
زندگی کیا ہے آج اسے اے دوست ,سوچ لیں اور اداس ہو جائیں ,Faraq Ghork Pori
لہو وطن کے شہیدوں کا رنگ لایا ہے ,اچھل رہا ہے زمانے میں نام آزادی ,Faraq Ghork Pori
میں مدتوں جیا ہوں کسی دوست کے بغیر ,اب تم بھی ساتھ چھوڑنے کو کہہ رہے ہو خیر ,Faraq Ghork Pori
کچھ نہ پوچھو فراقؔ عہد شباب ,رات ہے نیند ہے کہانی ہے ,Faraq Ghork Pori
کھو دیا تم کو تو ہم پوچھتے پھرتے ہیں یہی ,جس کی تقدیر بگڑ جائے وہ کرتا کیا ہے ,Faraq Ghork Pori
تجھ کو پا کر بھی نہ کم ہو سکی بے تابئ دل ,اتنا آسان ترے عشق کا غم تھا ہی نہیں ,Faraq Ghork Pori
سانس لیتی ہے وہ زمین فراقؔ ,جس پہ وہ ناز سے گزرتے ہیں ,Faraq Ghork Pori
دیکھ رفتار انقلاب فراقؔ ,کتنی آہستہ اور کتنی تیز ,Faraq Ghork Pori
کوئی آیا نہ آئے گا لیکن ,کیا کریں گر نہ انتظار کریں ,Faraq Ghork Pori
تم اسے شکوہ سمجھ کر کس لیے شرما گئے ,مدتوں کے بعد دیکھا تھا تو آنسو آ گئے ,Faraq Ghork Pori
طبیعت اپنی گھبراتی ہے جب سنسان راتوں میں ,ہم ایسے میں تری یادوں کی چادر تان لیتے ہیں ,Faraq Ghork Pori
اب یاد رفتگاں کی بھی ہمت نہیں رہی ,یاروں نے کتنی دور بسائی ہیں بستیاں ,Faraq Ghork Pori
آنے والی نسلیں تم پر فخر کریں گی ہم عصرو ,جب بھی ان کو دھیان آئے گا تم نے فراقؔ کو دیکھا ہے ,Faraq Ghork Pori
رونے کو تو زندگی پڑی ہے ,کچھ تیرے ستم پہ مسکرا لیں ,Faraq Ghork Pori
کون یہ لے رہا ہے انگڑائی ,آسمانوں کو نیند آتی ہے ,Faraq Ghork Pori
پال لے اک روگ ناداں زندگی کے واسطے ,صرف صحت کے سہارے عمر تو کٹتی نہیں ,Faraq Ghork Pori
ضبط کیجے تو دل ہے انگارا ,اور اگر روئیے تو پانی ہے ,Faraq Ghork Pori
لائی نہ ایسوں ویسوں کو خاطر میں آج تک ,اونچی ہے کس قدر تری نیچی نگاہ بھی ,Faraq Ghork Pori
میں دیر تک تجھے خود ہی نہ روکتا لیکن ,تو جس ادا سے اٹھا ہے اسی کا رونا ہے ,Faraq Ghork Pori
جس میں ہو یاد بھی تری شامل ,ہائے اس بے خودی کو کیا کہیے ,Faraq Ghork Pori
اسی کھنڈر میں کہیں کچھ دیے ہیں ٹوٹے ہوئے ,انہیں سے کام چلاؤ بڑی اداس ہے رات ,Faraq Ghork Pori
سر زمین ہند پر اقوام عالم کے فراقؔ ,قافلے بستے گئے ہندوستاں بنتا گیا ,Faraq Ghork Pori
آج بہت اداس ہوں ,یوں کوئی خاص غم نہیں ,Faraq Ghork Pori
ترے پہلو میں کیوں ہوتا ہے محسوس ,کہ تجھ سے دور ہوتا جا رہا ہوں ,Faraq Ghork Pori
دیوتاؤں کا خدا سے ہوگا کام ,آدمی کو آدمی درکار ہے ,Faraq Ghork Pori
پردۂ لطف میں یہ ظلم و ستم کیا کہیے ,ہائے ظالم ترا انداز کرم کیا کہیے ,Faraq Ghork Pori
کہہ دیا تو نے جو معصوم تو ہم ہیں معصوم ,کہہ دیا تو نے گنہ گار گنہ گار ہیں ہم ,Faraq Ghork Pori
شکل انسان کی ہو چال بھی انسان کی ہو ,یوں بھی آتی ہے قیامت مجھے معلوم نہ تھا ,Faraq Ghork Pori
شامیں کسی کو مانگتی ہیں آج بھی فراقؔ ,گو زندگی میں یوں مجھے کوئی کمی نہیں ,Faraq Ghork Pori
اثر بھی لے رہا ہوں تیری چپ کا ,تجھے قائل بھی کرتا جا رہا ہوں ,Faraq Ghork Pori
آنکھوں میں جو بات ہو گئی ہے ,اک شرح حیات ہو گئی ہے ,Faraq Ghork Pori
عشق پھر عشق ہے جس روپ میں جس بھیس میں ہو ,عشرت وصل بنے یا غم ہجراں ہو جائے ,Faraq Ghork Pori
سر میں سودا بھی نہیں دل میں تمنا بھی نہیں ,لیکن اس ترک محبت کا بھروسا بھی نہیں ,Faraq Ghork Pori
کہاں اتنی خبر عمر محبت کس طرح گزری ,ترا ہی درد تھا مجھ کو جہاں تک یاد آتا ہے ,Faraq Ghork Pori
عقل میں یوں تو نہیں کوئی کمی ,اک ذرا دیوانگی درکار ہے ,Faraq Ghork Pori
کمی نہ کی ترے وحشی نے خاک اڑانے میں ,جنوں کا نام اچھلتا رہا زمانے میں ,Faraq Ghork Pori
زندگی میں جو اک کمی سی ہے ,یہ ذرا سی کمی بہت ہے میاں ,Faraq Ghork Pori
تو یاد آیا ترے جور و ستم لیکن نہ یاد آئے ,محبت میں یہ معصومی بڑی مشکل سے آتی ہے ,Faraq Ghork Pori
اگر بدل نہ دیا آدمی نے دنیا کو ,تو جان لو کہ یہاں آدمی کی خیر نہیں ,Faraq Ghork Pori
مذہب کی خرابی ہے نہ اخلاق کی پستی ,دنیا کے مصائب کا سبب اور ہی کچھ ہے ,Faraq Ghork Pori
بہت حسین ہے دوشیزگیٔ حسن مگر ,اب آ گئے ہو تو آؤ تمہیں خراب کریں ,Faraq Ghork Pori
بد گماں ہو کے مل اے دوست جو ملنا ہے تجھے ,یہ جھجھکتے ہوئے ملنا کوئی ملنا بھی نہیں ,Faraq Ghork Pori
آج آغوش میں تھا اور کوئی ,دیر تک ہم تجھے نہ بھول سکے ,Faraq Ghork Pori
ہزار بار زمانہ ادھر سے گزرا ہے ,نئی نئی سی ہے کچھ تیری رہ گزر پھر بھی ,Faraq Ghork Pori
جو الجھی تھی کبھی آدم کے ہاتھوں ,وہ گتھی آج تک سلجھا رہا ہوں ,Faraq Ghork Pori
وقت پیری دوستوں کی بے رخی کا کیا گلا ,بچ کے چلتے ہیں سبھی گرتی ہوئی دیوار سے ,Faraq Ghork Pori
میری گھٹی میں پڑی تھی ہو کے حل اردو زباں ,جو بھی میں کہتا گیا حسن بیاں بنتا گیا ,Faraq Ghork Pori
رفتہ رفتہ عشق مانوس جہاں ہونے لگا ,خود کو تیرے ہجر میں تنہا سمجھ بیٹھے تھے ہم ,Faraq Ghork Pori
یہ زندگی کے کڑے کوس یاد آتے ہیں ,تری نگاہ کرم کا گھنا گھنا سایا ,Faraq Ghork Pori
کیا جانئے موت پہلے کیا تھی ,اب میری حیات ہو گئی ہے ,Faraq Ghork Pori
یہ مانا انقلاب‌ زندگی میں لاکھ خطرے ہیں ,تمنا پھر بھی ہے یہ زندگی زیر و زبر ہوتی ,Faraq Ghork Pori
خوش بھی ہو لیتے ہیں تیرے بے قرار ,غم ہی غم ہو عشق میں ایسا نہیں ,Faraq Ghork Pori
عشق ابھی سے تنہا تنہا ,ہجر کی بھی آئی نہیں نوبت ,Faraq Ghork Pori
ترا وصال بڑی چیز ہے مگر اے دوست ,وصال کو مری دنیائے آرزو نہ بنا ,Faraq Ghork Pori
میں آج صرف محبت کے غم کروں گا یاد ,یہ اور بات کہ تیری بھی یاد آ جائے ,Faraq Ghork Pori
وقت غروب آج کرامات ہو گئی ,زلفوں کو اس نے کھول دیا رات ہو گئی ,Faraq Ghork Pori
غالبؔ او میرؔ مصحفیؔ ,ہم بھی فراقؔ کم نہیں ,Faraq Ghork Pori
ماضی کے سمندر میں اکثر یادوں کے جزیرے ملتے ہیں ,پھر آؤ وہیں لنگر ڈالیں پھر آؤ انہیں آباد کریں ,Faraq Ghork Pori
کس لئے کم نہیں ہے درد فراق ,اب تو وہ دھیان سے اتر بھی گئے ,Faraq Ghork Pori
فریب عہد محبت کی سادگی کی قسم ,وہ جھوٹ بول کہ سچ کو بھی پیار آ جائے ,Faraq Ghork Pori
کہو تو عرض کریں مان لو تو کیا کہنا ,تمہارے پاس ہم آئے ہیں اک ضرورت سے ,Faraq Ghork Pori
اے بھول نہ سکنے والے تجھ کو ,بھولے نہ رہیں تو کیا کریں ہم ,Faraq Ghork Pori
وہ راتوں رات سری کرشنؔ کو اٹھائے ہوئے ,بلا کی قید سے بسدیوؔ کا نکل جانا ,Faraq Ghork Pori
فراقؔ دوڑ گئی روح سی زمانے میں ,کہاں کا درد بھرا تھا مرے فسانے میں ,Faraq Ghork Pori
ترا فراقؔ تو اس دن ترا فراق ہوا ,جب ان سے پیار کیا میں نے جن سے پیار نہیں ,Faraq Ghork Pori
احباب سے رکھتا ہوں کچھ امید خرافت ,رہتے ہیں خفا مجھ سے بہت لوگ اسی سے ,Faraq Ghork Pori
کہاں کا وصل تنہائی نے شاید بھیس بدلا ہے ,ترے دم بھر کے مل جانے کو ہم بھی کیا سمجھتے ہیں ,Faraq Ghork Pori
رفتہ رفتہ غیر اپنی ہی نظر میں ہو گئے ,واہ ری غفلت تجھے اپنا سمجھ بیٹھے تھے ہم ,Faraq Ghork Pori
جن کی تعمیر عشق کرتا ہے ,کون رہتا ہے ان مکانوں میں ,Faraq Ghork Pori
اے سوز عشق تو نے مجھے کیا بنا دیا ,میری ہر ایک سانس مناجات ہو گئی ,Faraq Ghork Pori
بحثیں چھڑی ہوئی ہیں حیات و ممات کی ,سو بات بن گئی ہے فراقؔ ایک بات کی ,Faraq Ghork Pori
چپ ہو گئے تیرے رونے والے ,دنیا کا خیال آ گیا ہے ,Faraq Ghork Pori
اس دور میں زندگی بشر کی ,بیمار کی رات ہو گئی ہے ,Faraq Ghork Pori
دنیا تھی رہ گزر تو قدم مارنا تھا سہل ,منزل ہوئی تو پاؤں کی زنجیر ہو گئی ,Faraq Ghork Pori
